<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.05.23	09:00:00	110713	110962	110375	110510	34587	111016	1
2018.05.23	09:15:00	110510	110814	110207	110234	34725	99788	1
2018.05.23	09:30:00	110234	110800	110092	110564	38817	104536	1
2018.05.23	09:45:00	110564	110719	110463	110551	17475	50226	1
2018.05.23	10:00:00	110551	110969	110389	110888	38196	111314	1
2018.05.23	10:15:00	110881	111226	110841	111050	35465	110832	1
2018.05.23	10:30:00	111050	111232	110422	110942	50979	157658	1
2018.05.23	10:45:00	110942	111165	110807	110861	26763	85580	1
2018.05.23	11:00:00	110868	111077	110652	110949	28488	97456	1
2018.05.23	11:15:00	110949	111050	110456	110571	26056	79906	1
2018.05.23	11:30:00	110564	110571	109835	110045	47820	149594	1
2018.05.23	11:45:00	110045	110078	109808	109883	25410	82797	1
2018.05.23	12:00:00	109876	110153	109829	110126	21825	69480	1
2018.05.23	12:15:00	110132	110200	109950	110112	16472	53196	1
2018.05.23	12:30:00	110119	110267	110058	110213	14571	44719	1
2018.05.23	12:45:00	110213	110321	110011	110166	19270	62705	1
2018.05.23	13:00:00	110166	110267	109943	110207	21482	72377	1
2018.05.23	13:15:00	110213	110436	109997	110119	27063	89231	1
2018.05.23	13:30:00	110119	110382	110051	110314	14653	56358	1
2018.05.23	13:45:00	110314	110348	109977	110099	15843	53207	1
2018.05.23	14:00:00	110092	110267	109984	110153	14643	47938	1
2018.05.23	14:15:00	110153	110240	110065	110234	12252	38160	1
2018.05.23	14:30:00	110240	110314	110126	110220	14576	47121	1
2018.05.23	14:45:00	110227	110362	110213	110314	12059	39658	1
2018.05.23	15:00:00	110314	110854	110180	110611	46174	141233	1
2018.05.23	15:15:00	110605	110733	110186	110429	35676	118546	1
2018.05.23	15:30:00	110422	110490	109754	109903	32489	110297	1
2018.05.23	15:45:00	109910	109937	109646	109707	24970	88164	1
2018.05.23	16:00:00	109700	109930	109586	109788	23368	77771	1
2018.05.23	16:15:00	109788	110018	109646	109883	19972	69062	1
2018.05.23	16:30:00	109883	110220	109808	109856	18868	70544	1
2018.05.23	16:45:00	109856	109869	109430	109505	21814	86381	1
2018.05.23	17:00:00	109505	109619	109322	109464	12462	47127	1
2018.05.23	17:15:00	109464	109849	109430	109822	6817	28433	1
2018.05.23	17:30:00	109822	109862	109444	109464	7836	30104	1
2018.05.23	17:45:00	109464	109727	109430	109727	3100	14195	1
2018.05.24	09:00:00	107540	107567	107270	107412	23884	78716	1
2018.05.24	09:15:00	107412	107628	107331	107453	25408	71650	1
2018.05.24	09:30:00	107446	107574	107405	107540	12844	38106	1
2018.05.24	09:45:00	107540	107662	107331	107378	21274	64434	1
2018.05.24	10:00:00	107385	107392	106805	106913	39640	119366	1
2018.05.24	10:15:00	106913	107797	106825	107750	46479	140913	1
2018.05.24	10:30:00	107750	108168	107439	107790	62445	195516	1
2018.05.24	10:45:00	107790	108101	107439	107648	50154	151504	1
2018.05.24	11:00:00	107648	108094	107486	107642	36143	104570	1
2018.05.24	11:15:00	107642	107817	107176	107203	41250	115725	1
2018.05.24	11:30:00	107210	107500	106892	107405	44574	131189	1
2018.05.24	11:45:00	107405	107628	107257	107331	29883	92717	1
2018.05.24	12:00:00	107331	107844	107291	107723	32441	102429	1
2018.05.24	12:15:00	107723	107918	107426	107723	27512	87898	1
2018.05.24	12:30:00	107716	107939	107547	107851	17739	62488	1
2018.05.24	12:45:00	107844	107871	107567	107635	15205	54001	1
2018.05.24	13:00:00	107642	107729	107243	107500	22925	75849	1
2018.05.24	13:15:00	107507	107696	107446	107520	18282	59061	1
2018.05.24	13:30:00	107520	107702	107399	107432	13834	44794	1
2018.05.24	13:45:00	107439	107527	107297	107493	12249	40806	1
2018.05.24	14:00:00	107500	107588	107385	107480	13087	39551	1
2018.05.24	14:15:00	107473	107500	107210	107304	16931	52706	1
2018.05.24	14:30:00	107311	107891	107284	107851	23061	73970	1
2018.05.24	14:45:00	107844	108364	107844	108080	41435	140947	1
2018.05.24	15:00:00	108074	108195	107905	108101	22043	74017	1
2018.05.24	15:15:00	108101	108269	107939	107979	18429	68930	1
2018.05.24	15:30:00	107986	108182	107797	108074	22216	80138	1
2018.05.24	15:45:00	108080	108607	108033	108377	25828	99306	1
2018.05.24	16:00:00	108371	108566	108161	108452	17826	70282	1
2018.05.24	16:15:00	108452	108728	108364	108472	20119	78752	1
2018.05.24	16:30:00	108472	108485	108202	108350	17296	67955	1
2018.05.24	16:45:00	108350	108573	108168	108553	20912	85572	1
2018.05.24	17:00:00	108553	108641	108350	108593	12506	47769	1
2018.05.24	17:15:00	108593	108742	108337	108371	9835	41700	1
2018.05.24	17:30:00	108371	108398	108263	108364	4548	17423	1
2018.05.24	17:45:00	108357	108499	108296	108398	2807	12070	1
2018.05.25	09:00:00	108438	109194	108020	109167	28975	94838	1
2018.05.25	09:15:00	109160	109187	108985	109093	18033	55775	1
2018.05.25	09:30:00	109086	109208	108911	108924	23152	68689	1
2018.05.25	09:45:00	108917	109012	108769	109005	24105	75459	1
2018.05.25	10:00:00	109012	109093	108708	108917	42605	132232	1
2018.05.25	10:15:00	108917	108958	108404	108418	37062	113825	1
2018.05.25	10:30:00	108411	108674	107669	107743	74460	231572	1
2018.05.25	10:45:00	107743	108053	107615	107797	43869	144819	1
2018.05.25	11:00:00	107804	108384	107797	108215	39060	129629	1
2018.05.25	11:15:00	108209	108431	107702	107723	36382	129644	1
2018.05.25	11:30:00	107729	108128	107702	108033	27085	94513	1
2018.05.25	11:45:00	108033	108148	107858	107979	21780	79443	1
2018.05.25	12:00:00	107986	107986	107540	107716	24305	82507	1
2018.05.25	12:15:00	107709	107777	107378	107763	19064	67426	1
2018.05.25	12:30:00	107770	108101	107736	107959	18653	72922	1
2018.05.25	12:45:00	107966	108067	107804	107871	13925	55933	1
2018.05.25	13:00:00	107878	107993	107675	107797	15316	57404	1
2018.05.25	13:15:00	107797	108040	107702	107939	17219	66671	1
2018.05.25	13:30:00	107945	107966	107466	107500	17648	66528	1
2018.05.25	13:45:00	107500	107628	107297	107459	19697	78290	1
2018.05.25	14:00:00	107466	107540	107270	107277	17174	67447	1
2018.05.25	14:15:00	107291	107324	106994	107216	23533	88742	1
2018.05.25	14:30:00	107210	107216	106940	107196	18231	70633	1
2018.05.25	14:45:00	107196	107203	106852	106919	19399	72234	1
2018.05.25	15:00:00	106913	107000	106697	106798	22900	86956	1
2018.05.25	15:15:00	106791	107041	106494	106508	25924	101658	1
2018.05.25	15:30:00	106508	106636	106366	106487	23269	91370	1
2018.05.25	15:45:00	106481	106872	106460	106683	20635	82563	1
2018.05.25	16:00:00	106683	106737	106352	106406	22866	89874	1
2018.05.25	16:15:00	106406	106683	106305	106636	16972	64617	1
2018.05.25	16:30:00	106636	106818	106535	106656	20081	73809	1
2018.05.25	16:45:00	106643	106825	106447	106643	20951	82744	1
2018.05.25	17:00:00	106649	106852	106595	106818	9700	36932	1
2018.05.25	17:15:00	106818	107142	106798	107021	12179	47287	1
2018.05.25	17:30:00	107027	107048	106825	106913	5188	19017	1
2018.05.25	17:45:00	106913	106980	106771	106771	3183	13881	1
2018.05.28	09:00:00	105893	106224	105313	105320	34162	111159	1
2018.05.28	09:15:00	105326	105461	104827	104948	43602	120460	1
2018.05.28	09:30:00	104955	105299	104888	105239	17860	52317	1
2018.05.28	09:45:00	105239	105556	105144	105272	23094	65243	1
2018.05.28	10:00:00	105272	105448	104651	104793	50446	128205	1
2018.05.28	10:15:00	104793	105029	104422	104462	39770	102114	1
2018.05.28	10:30:00	104462	104732	103625	104024	60818	162855	1
2018.05.28	10:45:00	104017	104314	103922	104051	28470	80194	1
2018.05.28	11:00:00	104057	104071	103376	103524	27356	78110	1
2018.05.28	11:15:00	103517	103605	103058	103362	42578	122716	1
2018.05.28	11:30:00	103362	103598	103146	103214	23180	66865	1
2018.05.28	11:45:00	103214	103308	102802	102815	31285	92402	1
2018.05.28	12:00:00	102809	102896	102329	102498	34022	102754	1
2018.05.28	12:15:00	102491	102667	102343	102539	24339	79772	1
2018.05.28	12:30:00	102545	102667	102329	102539	18003	65782	1
2018.05.28	12:45:00	102532	102822	102404	102809	15452	57942	1
2018.05.28	13:00:00	102802	103214	102620	103193	22661	88950	1
2018.05.28	13:15:00	103200	103585	103119	103504	22376	85926	1
2018.05.28	13:30:00	103504	103517	102680	102950	25012	96926	1
2018.05.28	13:45:00	102937	103423	102910	103335	11752	43916	1
2018.05.28	14:00:00	103335	103787	103160	103774	19784	71831	1
2018.05.28	14:15:00	103781	103781	103247	103349	16452	58824	1
2018.05.28	14:30:00	103355	103409	103004	103349	18340	65756	1
2018.05.28	14:45:00	103342	103625	103308	103619	12530	48667	1
2018.05.28	15:00:00	103619	103706	103355	103531	13986	48473	1
2018.05.28	15:15:00	103531	103538	102977	102998	14880	53280	1
2018.05.28	15:30:00	102991	103301	102755	103018	21888	80599	1
2018.05.28	15:45:00	103031	103261	102802	103254	15137	57192	1
2018.05.28	16:00:00	103247	103389	102674	102903	22346	75636	1
2018.05.28	16:15:00	102896	103058	102505	102620	21494	76202	1
2018.05.28	16:30:00	102626	102815	102147	102208	21998	79781	1
2018.05.28	16:45:00	102215	102323	101850	101958	20659	80216	1
2018.05.28	17:00:00	101945	102120	101654	101702	13310	58967	1
2018.05.28	17:15:00	101695	101776	101452	101695	9935	44662	1
2018.05.28	17:30:00	101688	101837	101486	101695	5607	24043	1
2018.05.28	17:45:00	101681	101715	101398	101519	3967	22273	1
2018.05.29	09:00:00	101040	102053	101000	102046	44490	139839	1
2018.05.29	09:15:00	102032	103092	101992	103031	57117	149832	1
2018.05.29	09:30:00	103031	103342	102680	102714	50706	129426	1
2018.05.29	09:45:00	102707	103619	102687	103598	37314	114556	1
2018.05.29	10:00:00	103592	103949	103261	103787	61566	173328	1
2018.05.29	10:15:00	103794	103801	103139	103362	51034	140633	1
2018.05.29	10:30:00	103362	103814	103254	103808	62080	169880	1
2018.05.29	10:45:00	103808	104388	103720	104280	50723	149906	1
2018.05.29	11:00:00	104273	104449	103963	104246	39790	120660	1
2018.05.29	11:15:00	104253	104260	103808	103855	40686	120143	1
2018.05.29	11:30:00	103862	103970	103578	103679	37241	115680	1
2018.05.29	11:45:00	103679	104037	103477	103538	43021	132044	1
2018.05.29	12:00:00	103538	103666	103011	103619	45078	151676	1
2018.05.29	12:15:00	103625	103909	103369	103821	34342	121233	1
2018.05.29	12:30:00	103828	103990	103409	103443	26066	96098	1
2018.05.29	12:45:00	103436	103524	103139	103349	25880	98149	1
2018.05.29	13:00:00	103355	103369	102910	103011	33174	117609	1
2018.05.29	13:15:00	103011	103470	102964	103389	28326	98136	1
2018.05.29	13:30:00	103382	103733	103274	103619	25645	90796	1
2018.05.29	13:45:00	103625	104064	103443	104057	28655	115052	1
2018.05.29	14:00:00	104051	104078	103625	103754	27914	104413	1
2018.05.29	14:15:00	103754	104179	103578	103922	36776	136011	1
2018.05.29	14:30:00	103929	104003	103268	103335	32151	120764	1
2018.05.29	14:45:00	103335	103592	102971	102971	32302	122322	1
2018.05.29	15:00:00	102971	102998	102262	102410	44658	178617	1
2018.05.29	15:15:00	102410	102647	101951	102606	39276	157309	1
2018.05.29	15:30:00	102599	102869	102086	102215	37116	138271	1
2018.05.29	15:45:00	102208	102707	102134	102640	24698	96007	1
2018.05.29	16:00:00	102640	102680	102289	102606	20302	74270	1
2018.05.29	16:15:00	102599	102930	102410	102788	22194	86507	1
2018.05.29	16:30:00	102795	102971	102370	102640	25622	107236	1
2018.05.29	16:45:00	102647	102856	102485	102687	19812	82388	1
2018.05.29	17:00:00	102680	102836	102640	102721	8361	37716	1
2018.05.29	17:15:00	102721	102795	102660	102728	4378	21515	1
2018.05.29	17:30:00	102734	102809	102694	102707	2475	12033	1
2018.05.29	17:45:00	102701	102734	102572	102572	2215	12345	1
2018.05.30	09:00:00	103085	103693	102728	102755	26357	100734	1
2018.05.30	09:15:00	102748	103126	102674	103031	34756	100387	1
2018.05.30	09:30:00	103025	103200	102275	102431	47367	132575	1
2018.05.30	09:45:00	102431	102761	102343	102417	30071	89266	1
2018.05.30	10:00:00	102424	102944	102356	102782	48190	134632	1
2018.05.30	10:15:00	102788	103079	102640	102849	39913	111142	1
2018.05.30	10:30:00	102849	103288	102505	103187	71107	201398	1
2018.05.30	10:45:00	103187	103409	102579	102613	47004	153120	1
2018.05.30	11:00:00	102613	102701	102059	102620	69131	202338	1
2018.05.30	11:15:00	102620	102856	102100	102154	53691	163432	1
2018.05.30	11:30:00	102154	102680	102019	102593	48036	143656	1
2018.05.30	11:45:00	102599	102930	102478	102788	39907	114399	1
2018.05.30	12:00:00	102782	103268	102768	103268	42050	119538	1
2018.05.30	12:15:00	103268	103673	103200	103457	45056	128760	1
2018.05.30	12:30:00	103463	104078	103457	103895	38969	117302	1
2018.05.30	12:45:00	103909	104165	103612	104064	35082	110315	1
2018.05.30	13:00:00	104064	104314	103585	103700	32983	100739	1
2018.05.30	13:15:00	103693	103781	103301	103457	27295	82513	1
2018.05.30	13:30:00	103463	103787	103261	103646	26341	90426	1
2018.05.30	13:45:00	103646	103774	103450	103524	17286	58950	1
2018.05.30	14:00:00	103517	103949	103376	103909	24707	82563	1
2018.05.30	14:15:00	103916	104348	103909	104199	28420	96315	1
2018.05.30	14:30:00	104199	104327	103902	103943	20069	73712	1
2018.05.30	14:45:00	103949	104240	103706	103787	27634	99070	1
2018.05.30	15:00:00	103787	104017	103666	103875	24653	91118	1
2018.05.30	15:15:00	103875	103922	103524	103538	21793	80506	1
2018.05.30	15:30:00	103538	103882	103376	103754	25008	87595	1
2018.05.30	15:45:00	103760	104105	103733	103997	23864	82697	1
2018.05.30	16:00:00	104003	104078	103585	103713	27300	90673	1
2018.05.30	16:15:00	103720	103868	103497	103504	16612	57128	1
2018.05.30	16:30:00	103504	103612	103308	103389	24460	86884	1
2018.05.30	16:45:00	103389	103754	103308	103700	24743	86752	1
2018.05.30	17:00:00	103700	103909	103578	103781	16516	60116	1
2018.05.30	17:15:00	103787	103936	103747	103794	7520	26610	1
2018.05.30	17:30:00	103801	104213	103801	104165	9152	33119	1
2018.05.30	17:45:00	104165	104327	104159	104327	3243	17346	1
2018.06.01	09:00:00	104732	104834	104503	104510	19535	60767	1
2018.06.01	09:15:00	104510	104584	104057	104240	25520	80959	1
2018.06.01	09:30:00	104246	104307	103970	104044	37523	108827	1
2018.06.01	09:45:00	104037	104624	104024	104591	40096	112390	1
2018.06.01	10:00:00	104591	105137	104415	105056	48359	144775	1
2018.06.01	10:15:00	105056	105083	104766	104975	29300	84520	1
2018.06.01	10:30:00	104982	105461	104942	105414	43930	135607	1
2018.06.01	10:45:00	105421	105704	105340	105502	30585	102644	1
2018.06.01	11:00:00	105502	105671	105306	105333	30821	98606	1
2018.06.01	11:15:00	105333	105441	102896	102910	76595	226344	1
2018.06.01	11:30:00	102910	103396	102059	102154	65064	190686	1
2018.06.01	11:45:00	102147	102586	101823	102080	57659	179618	1
2018.06.01	12:00:00	102086	103085	102046	102950	48535	146870	1
2018.06.01	12:15:00	102950	103740	102836	102883	46941	150045	1
2018.06.01	12:30:00	102883	102944	102127	102532	41603	136514	1
2018.06.01	12:45:00	102539	103011	102228	102944	41045	139357	1
2018.06.01	13:00:00	102944	103477	102734	103281	27757	87173	1
2018.06.01	13:15:00	103288	103659	103133	103605	19436	64611	1
2018.06.01	13:30:00	103612	103909	103396	103585	19961	63537	1
2018.06.01	13:45:00	103585	103706	103281	103612	24426	79455	1
2018.06.01	14:00:00	103612	103902	103457	103760	25096	78346	1
2018.06.01	14:15:00	103760	103943	103592	103929	18424	57035	1
2018.06.01	14:30:00	103929	104469	103922	104462	26306	93032	1
2018.06.01	14:45:00	104456	104699	104260	104537	24144	89425	1
2018.06.01	15:00:00	104543	104658	104422	104469	17619	67792	1
2018.06.01	15:15:00	104469	104692	104435	104570	14687	58361	1
2018.06.01	15:30:00	104570	104793	104260	104462	26840	102565	1
2018.06.01	15:45:00	104456	104591	104192	104442	25417	100886	1
2018.06.01	16:00:00	104449	104483	104267	104449	14620	57910	1
2018.06.01	16:15:00	104442	104530	104287	104496	12544	55819	1
2018.06.01	16:30:00	104489	104712	104483	104658	13694	52388	1
2018.06.01	16:45:00	104651	104982	104523	104901	17747	72939	1
2018.06.01	17:00:00	104908	104908	103268	104503	56697	164472	1
2018.06.01	17:15:00	104496	104807	104395	104739	8437	37275	1
2018.06.01	17:30:00	104739	104861	104597	104759	6911	29308	1
2018.06.01	17:45:00	104753	104989	104753	104908	4035	20218	1
2018.06.04	09:00:00	105455	105853	105306	105846	25018	77041	1
2018.06.04	09:15:00	105846	105968	105475	105684	26423	75021	1
2018.06.04	09:30:00	105684	105691	105394	105529	20761	58344	1
2018.06.04	09:45:00	105522	105799	105401	105671	23911	67026	1
2018.06.04	10:00:00	105671	106042	105434	105799	49786	139146	1
2018.06.04	10:15:00	105799	106177	105738	105860	42563	115707	1
2018.06.04	10:30:00	105866	106224	105583	105731	47306	141142	1
2018.06.04	10:45:00	105731	105914	105468	105833	41513	127757	1
2018.06.04	11:00:00	105833	105988	105272	105286	42924	134801	1
2018.06.04	11:15:00	105286	105590	105191	105536	48495	152316	1
2018.06.04	11:30:00	105542	105752	105218	105704	31327	106563	1
2018.06.04	11:45:00	105704	106211	105677	106076	36225	128402	1
2018.06.04	12:00:00	106069	106292	105718	105758	33824	116379	1
2018.06.04	12:15:00	105758	105819	105529	105718	27540	99331	1
2018.06.04	12:30:00	105718	105785	105495	105583	20831	73738	1
2018.06.04	12:45:00	105590	105806	105374	105657	26412	90067	1
2018.06.04	13:00:00	105657	105698	105380	105576	21080	84131	1
2018.06.04	13:15:00	105569	105826	105502	105799	18831	63866	1
2018.06.04	13:30:00	105792	105907	105515	105806	22427	80203	1
2018.06.04	13:45:00	105799	105974	105583	105664	21557	70835	1
2018.06.04	14:00:00	105671	105920	105617	105853	15725	56028	1
2018.06.04	14:15:00	105853	106015	105752	105779	17812	59752	1
2018.06.04	14:30:00	105779	106069	105725	106055	18715	65326	1
2018.06.04	14:45:00	106055	106109	105887	106035	16521	58343	1
2018.06.04	15:00:00	106035	106163	105981	106089	15677	55457	1
2018.06.04	15:15:00	106089	106109	105792	105866	17004	57308	1
2018.06.04	15:30:00	105873	106103	105846	106001	15298	52740	1
2018.06.04	15:45:00	105995	106163	105934	106130	10550	37606	1
2018.06.04	16:00:00	106130	106339	106008	106204	17810	68939	1
2018.06.04	16:15:00	106211	106217	105927	105954	16954	66064	1
2018.06.04	16:30:00	105961	106015	105779	105954	19808	72350	1
2018.06.04	16:45:00	105954	106177	105893	106130	17636	66603	1
2018.06.04	17:00:00	106130	106231	106055	106109	9411	36368	1
2018.06.04	17:15:00	106109	106184	106049	106150	5946	20308	1
2018.06.04	17:30:00	106163	106258	106136	106231	4744	17025	1
2018.06.04	17:45:00	106224	106285	106096	106096	3008	13303	1
2018.06.05	09:00:00	105826	106049	105414	105522	28278	97165	1
2018.06.05	09:15:00	105515	105515	105036	105266	37389	111206	1
2018.06.05	09:30:00	105259	105414	105225	105293	20170	57533	1
2018.06.05	09:45:00	105293	105556	105198	105448	24981	71491	1
2018.06.05	10:00:00	105448	105671	105394	105529	34488	106421	1
2018.06.05	10:15:00	105522	105833	105488	105731	29955	90098	1
2018.06.05	10:30:00	105725	106379	105637	106346	62187	193706	1
2018.06.05	10:45:00	106346	106575	106042	106366	50544	159501	1
2018.06.05	11:00:00	106352	106440	105853	105941	45640	148847	1
2018.06.05	11:15:00	105941	106157	105664	106109	43371	150336	1
2018.06.05	11:30:00	106096	106170	105414	105441	48524	159763	1
2018.06.05	11:45:00	105448	105448	105056	105151	46209	154548	1
2018.06.05	12:00:00	105158	105178	104462	104854	49090	172393	1
2018.06.05	12:15:00	104854	105178	104840	105090	25700	94409	1
2018.06.05	12:30:00	105090	105191	104881	104901	21688	82432	1
2018.06.05	12:45:00	104894	105151	104820	105029	19920	73114	1
2018.06.05	13:00:00	105036	105205	104928	104982	16604	63296	1
2018.06.05	13:15:00	104982	105016	104638	104942	19661	66418	1
2018.06.05	13:30:00	104942	105259	104935	105117	24100	86563	1
2018.06.05	13:45:00	105117	105144	104773	104874	19518	70953	1
2018.06.05	14:00:00	104874	105063	104773	105016	16049	54639	1
2018.06.05	14:15:00	105023	105056	104834	104847	11584	40736	1
2018.06.05	14:30:00	104854	104955	104672	104847	19407	65519	1
2018.06.05	14:45:00	104854	104861	104631	104645	15341	54070	1
2018.06.05	15:00:00	104638	104753	104368	104483	22707	81451	1
2018.06.05	15:15:00	104483	104516	104172	104199	25998	93220	1
2018.06.05	15:30:00	104199	104327	103983	104260	19575	70871	1
2018.06.05	15:45:00	104253	104260	103922	104044	22285	79396	1
2018.06.05	16:00:00	104037	104078	103430	103511	31183	113373	1
2018.06.05	16:15:00	103517	103625	103288	103423	29854	111764	1
2018.06.05	16:30:00	103430	103524	103153	103403	26601	103204	1
2018.06.05	16:45:00	103403	103558	103274	103362	25413	101933	1
2018.06.05	17:00:00	103362	103565	103301	103511	10523	42493	1
2018.06.05	17:15:00	103511	103598	103477	103538	4723	18309	1
2018.06.05	17:30:00	103538	103666	103430	103571	5328	21133	1
2018.06.05	17:45:00	103571	103646	103342	103342	3487	16503	1
2018.06.06	09:00:00	103740	104051	103038	103234	40029	134953	1
2018.06.06	09:15:00	103227	103349	102491	102566	46416	127314	1
2018.06.06	09:30:00	102566	102579	101742	102032	66915	189841	1
2018.06.06	09:45:00	102026	102728	101816	102647	48485	131454	1
2018.06.06	10:00:00	102647	103430	102640	103220	48321	133838	1
2018.06.06	10:15:00	103227	103497	102707	103247	55319	148698	1
2018.06.06	10:30:00	103247	103781	102937	103652	64183	188475	1
2018.06.06	10:45:00	103652	103990	103477	103605	44071	138255	1
2018.06.06	11:00:00	103612	103679	103160	103288	43852	135699	1
2018.06.06	11:15:00	103288	103639	103092	103544	34250	109385	1
2018.06.06	11:30:00	103538	103538	102883	102991	43333	134727	1
2018.06.06	11:45:00	102984	102998	102323	102734	42478	133540	1
2018.06.06	12:00:00	102734	102896	101870	102080	42478	135352	1
2018.06.06	12:15:00	102080	102437	101816	102410	36043	108245	1
2018.06.06	12:30:00	102410	102660	102289	102620	23239	74824	1
2018.06.06	12:45:00	102626	102707	102404	102599	19658	65883	1
2018.06.06	13:00:00	102599	102728	102458	102620	18414	59510	1
2018.06.06	13:15:00	102626	102714	102539	102647	9336	30536	1
2018.06.06	13:30:00	102647	102701	102296	102485	18810	65402	1
2018.06.06	13:45:00	102491	102674	102370	102464	12314	44954	1
2018.06.06	14:00:00	102464	102660	102431	102653	8883	33088	1
2018.06.06	14:15:00	102647	102815	102336	102660	21813	79674	1
2018.06.06	14:30:00	102660	102896	102613	102869	16048	62057	1
2018.06.06	14:45:00	102869	103214	102863	103173	23445	85929	1
2018.06.06	15:00:00	103166	103268	102950	103011	17909	64009	1
2018.06.06	15:15:00	103018	103106	102478	102687	24037	86379	1
2018.06.06	15:30:00	102687	102734	102356	102498	19514	72140	1
2018.06.06	15:45:00	102491	102653	102147	102255	25148	92174	1
2018.06.06	16:00:00	102255	102269	101897	102228	25570	91386	1
2018.06.06	16:15:00	102235	102390	102086	102167	17818	67765	1
2018.06.06	16:30:00	102167	102424	102073	102302	15780	59490	1
2018.06.06	16:45:00	102309	102633	102262	102579	15649	66105	1
2018.06.06	17:00:00	102566	102768	102491	102579	12456	54956	1
2018.06.06	17:15:00	102579	102640	102404	102464	5465	23721	1
2018.06.06	17:30:00	102464	102464	102282	102296	4647	19645	1
2018.06.06	17:45:00	102296	102329	102005	102005	3028	15593	1
2018.06.07	09:00:00	102262	102809	102100	102316	39412	123801	1
2018.06.07	09:15:00	102323	102363	100325	100480	85731	218161	1
2018.06.07	09:30:00	100473	101067	100352	100804	41819	111548	1
2018.06.07	09:45:00	100804	101324	100608	100858	47777	122824	1
2018.06.07	10:00:00	100865	101351	100581	100892	56550	155406	1
2018.06.07	10:15:00	100905	101479	100723	101445	36294	104296	1
2018.06.07	10:30:00	101438	101513	100169	100331	72639	205600	1
2018.06.07	10:45:00	100331	100730	100169	100716	37956	122392	1
2018.06.07	11:00:00	100716	101297	100682	100811	49580	157405	1
2018.06.07	11:15:00	100811	100824	100352	100534	30991	94358	1
2018.06.07	11:30:00	100534	100628	100190	100487	35516	107207	1
2018.06.07	11:45:00	100487	100500	99859	99947	42112	131068	1
2018.06.07	12:00:00	99940	99980	99609	99953	36088	114179	1
2018.06.07	12:15:00	99940	99967	99285	99420	27181	88154	1
2018.06.07	12:30:00	99427	99731	99123	99278	32254	101011	1
2018.06.07	12:45:00	99272	99528	98657	98900	45195	133897	1
2018.06.07	13:00:00	98900	99022	98617	98860	31011	94516	1
2018.06.07	13:15:00	98860	99083	98819	98873	23422	71296	1
2018.06.07	13:30:00	98880	98887	98063	98144	41842	130010	1
2018.06.07	13:45:00	98151	98246	97085	97388	48878	170555	1
2018.06.07	14:00:00	97395	97712	97098	97152	33636	106364	1
2018.06.07	14:15:00	97145	97274	96700	96835	41210	130243	1
2018.06.07	14:30:00	96835	96835	95930	96686	59724	195107	1
2018.06.07	14:45:00	96693	97658	96673	96828	61991	172567	1
2018.06.07	15:00:00	96828	98030	96727	97861	52454	151767	1
2018.06.07	15:15:00	97861	98536	97699	98428	50279	151480	1
2018.06.07	15:30:00	98428	99076	98266	99029	43463	144193	1
2018.06.07	15:45:00	99035	99197	98468	98765	34859	109731	1
2018.06.07	16:00:00	98765	99319	98671	99056	25568	83574	1
2018.06.07	16:15:00	99056	99143	98637	98914	20785	66364	1
2018.06.07	16:30:00	98921	99312	98826	99251	19360	68840	1
2018.06.07	16:45:00	99245	99866	99245	99454	25450	97980	1
2018.06.07	17:00:00	99447	99818	99447	99677	10990	46532	1
2018.06.07	17:15:00	99670	99737	99326	99339	8623	33129	1
2018.06.07	17:30:00	99346	99420	99157	99218	6987	26175	1
2018.06.07	17:45:00	99218	99967	99130	99967	4658	22718	1
2018.06.08	09:00:00	99785	100055	97807	98340	46485	135128	1
2018.06.08	09:15:00	98347	99292	98063	99103	54696	130458	1
2018.06.08	09:30:00	99096	99420	98556	98725	52730	122524	1
2018.06.08	09:45:00	98725	99562	98462	99555	45597	118060	1
2018.06.08	10:00:00	99555	99832	98840	98981	79730	184519	1
2018.06.08	10:15:00	98981	99947	98934	99717	61788	153455	1
2018.06.08	10:30:00	99724	99866	98165	98367	96228	233913	1
2018.06.08	10:45:00	98367	98536	97915	98144	71374	177237	1
2018.06.08	11:00:00	98144	98151	97145	97166	83725	214878	1
2018.06.08	11:15:00	97179	97301	96585	96862	72872	183874	1
2018.06.08	11:30:00	96862	97571	96619	97388	57107	157745	1
2018.06.08	11:45:00	97395	98077	97341	97982	46490	128714	1
2018.06.08	12:00:00	97989	98232	97496	97996	41672	109445	1
2018.06.08	12:15:00	98003	98637	97672	98360	45501	122136	1
2018.06.08	12:30:00	98354	98435	97901	98239	29581	83198	1
2018.06.08	12:45:00	98246	98259	97712	98090	28528	78411	1
2018.06.08	13:00:00	98097	98124	97213	97422	30611	89750	1
2018.06.08	13:15:00	97422	97901	97280	97800	36853	94993	1
2018.06.08	13:30:00	97800	98232	97800	98117	24302	67898	1
2018.06.08	13:45:00	98111	98684	98070	98394	30181	87819	1
2018.06.08	14:00:00	98394	98603	97976	98232	28963	81657	1
2018.06.08	14:15:00	98239	98590	98117	98381	27126	82745	1
2018.06.08	14:30:00	98374	98813	98293	98603	32175	96650	1
2018.06.08	14:45:00	98603	99008	98576	98867	26715	88334	1
2018.06.08	15:00:00	98867	99521	98725	99420	26031	92920	1
2018.06.08	15:15:00	99420	99515	98921	99015	25648	89549	1
